OBJECTID,YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,GlobalID,created_user,created_date,last_edited_user,last_edited_date
27,2024,S-251,A,9.448,C000251,A,C000251A,035+0.149,044+0.610,35.119,44.567,10-2-014, , ,A,114,0, ,0,14,13,0, ,0,123,114,RMA_RMC_345,5398,10,198,6,6,9,9, ,2, ,DANIELS, , ,8.333,25,{995BE65E-9346-499B-B507-1250365A9BF0},,,,
28,2024,P-36,A,6.501,C000036,A,C000036A,018+0.982,025+0.490,18.963,25.464,45-5-003, , ,A,1421,10, ,17,144,95,7, ,12,101,67,RMA_RMC_12,4057,20,112,50,50,72,72, ,2, ,SANDERS, , ,1.914,4.785,{5FDBD06B-64A1-4454-85AE-5AB4DAD8BAF6},,,,
29,2024,I-15,A,3.451,C000015,A,C000015A,282+0.794,286+0.413,282.277,285.729,07-2A-005, , ,E,10902,27, ,48,1120,1008,2, ,4,103,92,UI,2021,10,103,669,669,1025,1025, ,2, ,CASCADE,JCT ON RAMP EMERSON INTERCHANGE,JCT ON RAMP EMERSON INTERCHANGE,3.148,7.975,{4BEB52FC-2F8C-4945-BC72-E3613D01CC27},,,,
30,2024,S-214,A,9.592,C000214,A,C000214A,005+0.909,015+0.493,5.901,15.493,18-3-007, , ,E,98,0, ,0,17,12,0, ,0,173,122,RMA_RMC_345,5021,10,189,8,8,11,11, ,2, ,GLACIER, , ,0,12.5,{74C0BC05-6022-4F27-9711-D0FC2C78634D},,,,
31,2024,N-22,A,0.277,C000022,A,C000022A,041+0.161,041+0.438,41.132,41.409,46-1-011, , ,A,2200,15, ,12,236,190,7, ,5,107,86,RPA_45,3048,10,103,119,119,180,180, ,2, ,SHERIDAN,JCT N-34,ENT N-22A/JCT N-34,1.172,8.203,{0D0BABE8-5677-4E5D-BF8A-1E021C3DE71D},,,,
32,2024,N-412,A,0.247,C001201,A,C001201A,002+0.548,002+0.795,2.548,2.795,16-3B-109, , ,E,25284,151, ,63,725,438,6, ,2,29,17,UPA,7066,10,88,284,284,391,391, ,4, ,GALLATIN,JCT U-1204(DURSTON RD),JCT U-1204(DURSTON RD),1.619,1.461,{2A69785D-6894-44CA-A389-C23F9D9D8F6D},,,,
33,2024,N-1,A,3.265,C000001,A,C000001A,249+0.272,252+0.510,249.186,252.451,18-5-003, , ,E,2301,5, ,13,126,71,2, ,6,55,31,RPA_3,3005,10,132,46,46,66,66, ,2, ,GLACIER, , ,1.923,3.365,{F523A281-650F-4629-911B-1337D5F8EFB7},,,,
34,2024,N-37,A,0.582,C000037,A,C000037A,000+0.549,001+0.326,0.549,1.131,02-5-001, , ,E,2481,79, ,32,779,641,32, ,13,314,258,RPA_45,3060,20,94,365,365,532,532, ,3, ,BIG HORN,JCT S-342,JCT S-342,6.075,27.57,{5D8B0868-2B7D-4C86-A31A-25B80E15C832},,,,
35,2024,N-1,A,1.323,C000001,A,C000001A,207+0.924,209+0.270,206.488,207.811,18-4-002, , ,A,1663,35, ,24,137,90,21, ,14,82,54,REC_PA,3004,10,156,62,62,90,90, ,2, ,GLACIER, , ,2.83,3.774,{D8F5226C-ACBF-458A-90D5-50BB452BB95D},,,,
36,2024,U-1213,A,0.399,C001213,A,C001213A,000+0.695,001+0.094,0.695,1.094,16-3B-091, , ,A,2040,12, ,1,13,1,6, ,0,6,0,UMA_UC,9012,10,107,3,3,3,3, ,2, ,GALLATIN, , ,0.515,0,{14F7ACB4-F876-496C-B5E7-014FD04BCBB0},,,,
37,2024,S-478,A,10.669,C000478,A,C000478A,002+0.049,012+0.729,2.045,12.715,49-2-003, , ,A,66,0, ,0,0,0,0, ,0,0,0,RMA_RMC_345,5306,10,215,0,0,0,0, ,2, ,SWEET GRASS, , ,0,0,{4E6F27D5-B16B-4E91-9120-5B3245C71265},,,,
38,2024,N-57,A,2.947,C000057,A,C000057A,021+0.246,024+0.279,21.455,24.402,23-1-002, , ,A,2609,10, ,21,542,393,4, ,8,208,151,RPA_45,3067,10,131,228,228,338,338, ,2, ,JUDITH BASIN,JCT S-551 AT GEYSER,JCT S-551 AT GEYSER,21.805,10.77,{60570372-084A-434F-9304-FD1278D53A0D},,,,
39,2024,U-6906,A,0.433,C006906,A,C006906A,001+0.749,002+0.182,1.749,2.182,56-4B-016, , ,A,1277,8, ,7,20,4,6, ,5,16,3,UMA_UC,9071,10,122,7,7,9,9, ,2, ,YELLOWSTONE,JCT U-6901(1ST AVE),JCT U-6901(1ST AVE),1.284,0.444,{78DB7FD7-B7D4-4F5D-92E6-B4FAF6841B51},,,,
40,2024,L-8-1523,A,0.672,C003194,A,C003194A,000+0.000,000+0.672,0,0.672,08-5-029, , ,E,416,0, ,0,0,0,0, ,0,0,0,UMA_UC,0,13,116,0,0,0,0, ,2, ,CHOUTEAU,JCT P-80,ENT L-8-1523A/,0,0,{1DA27D1A-5342-43AD-9E7C-13FAFCC40263},,,,
41,2024,P-28,A,2.2,C000028,A,C000028A,099+0.582,101+0.705,97.591,99.791,05-1-003, , ,A,4180,22, ,12,178,95,5, ,3,43,23,RMA_RMC_345,4126,10,149,61,61,89,89, ,2, ,CARBON, , ,0.476,1.19,{926B5CA3-2DF1-49D3-B5B7-B5D56C6926A0},,,,
42,2024,S-271,A,1.752,C000271,A,C000271A,020+0.566,022+0.317,20.568,22.32,39-2-007, , ,A,303,7, ,0,19,11,23, ,0,63,36,RMA_RMC_12,5117,20,124,7,7,10,10, ,2, ,POWELL, , ,8.333,5.556,{9F299A0B-52F7-46B4-94B9-BC12CA234D50},,,,
43,2024,N-1,A,0.108,C000001,A,C000001A,221+1.869,221+1.976,221.517,221.625,18-4-017, , ,A,3800,5, ,13,126,71,1, ,3,33,19,REC_PA,3005,10,132,48,48,68,68, ,2, ,GLACIER, ,BEGIN 2 LANES,1.923,3.365,{F5D8E906-1BC3-4E04-89B5-960814F39507},,,,
44,2024,L-25-903,A,0.94,C004337,A,C004337A,000+0.000,000+0.940,0,0.94,25-7C-096, , ,A,247,0, ,0,0,0,0, ,0,0,0,UMA_UC,0,13,116,0,0,0,0, ,2, ,LEWIS AND CLARK, ,ENT L-25-903A,0,0,{7CBF7C57-FA03-4142-9E20-3DE6F1C9F5D6},,,,
45,2024,S-275,A,0.029,C000275,A,C000275A,000+0.000,000+0.029,0,0.029,39-3-027, , ,A,3185,8, ,8,118,64,3, ,3,37,20,RMA_RMC_12,5121,10,110,41,41,61,61, ,2, ,POWELL, ,ENT S-275A,2.846,3.252,{1EC70557-AFAC-4273-99EC-9E67E5684043},,,,
46,2024,N-49,A,0.527,C000049,A,C000049A,027+0.049,027+0.576,26.689,27.216,29-1-012, , ,E,2951,32, ,3,383,298,11, ,1,130,101,RPA_2,4072,18,93,146,146,209,209, ,2, ,MADISON, , ,5.97,15.92,{B17416DC-DEDD-47A9-BD93-A10AE20F8775},,,,
47,2024,P-29,A,2.448,C000029,A,C000029A,080+0.177,082+0.709,79.786,82.234,47-1C-008, , ,E,1972,21, ,5,29,5,11, ,3,15,3,UMA_UC,8137,10,110,8,8,11,11, ,2, ,SILVER BOW,JCT U-1807 (CONTINENTAL DR),JCT U-1807 (CONTINENTAL DR),2.283,0.457,{D1424E6B-C11A-4E0A-8934-515CC4D24974},,,,
48,2024,N-1,A,1.163,C000001,A,C000001A,067+0.666,068+0.808,67.644,68.807,27-6-002, , ,E,1443,12, ,18,139,92,8, ,12,96,64,RPA_1,3002,10,120,63,63,93,93, ,3, ,LINCOLN, ,BEGIN 3 LANES,3.643,5.351,{F00C4307-7662-45A8-B467-2BAA488CBF86},,,,
49,2024,P-52,A,10.27,C000052,A,C000052A,006+0.142,016+0.435,6.136,16.406,24-2-008, , ,A,2451,34, ,31,166,111,14, ,13,68,45,REC_MA,4074,10,155,73,73,103,103, ,2, ,LAKE, , ,0.451,0.602,{AE913E70-4562-4065-B5A2-5A26C566FC8C},,,,
50,2024,L-15-1018,A,1.116,C004969,A,C004969A,000+0.000,001+0.116,0,1.116,15-7B-068, , ,E,2264,0, ,0,0,0,0, ,0,0,0,UMA_UC,0,13,116,0,0,0,0, ,2, ,FLATHEAD,JCT U-6726 (WOODLAND AVE),ENT L-15-1018A/,0,0,{17423556-A636-443A-8AFE-AE9678B81531},,,,
51,2024,P-78,A,0.016,C000078,A,C000078A,045+1.107,045+1.123,45.745,45.761,48-2-006, , ,A,3495,38, ,24,203,145,11, ,7,58,41,RMA_RMC_345,4091,10,102,84,84,127,127, ,2, ,STILLWATER,JCT ROUTE 421,JCT ROUTE 421,5.15,3.433,{74620610-6AB1-4CA8-B0AA-205683E33D9A},,,,
52,2024,U-6906,A,0.677,C006906,A,C006906A,000+0.214,000+0.891,0.214,0.891,56-4B-036, , ,A,962,8, ,7,20,4,8, ,7,21,4,UMA_UC,9071,10,122,7,7,9,9, ,2, ,YELLOWSTONE, , ,1.284,0.444,{F6FFB463-A5D8-44EA-A910-BA3CE0AC847D},,,,
53,2024,U-1821,A,0.002,C001821,A,C001821A,001+0.132,001+0.134,1.132,1.134,914157G, , ,E,1653,24, ,14,74,41,15, ,8,45,25,UMA_UC,8150,10,111,22,22,29,29, ,4, ,SILVER BOW, , ,0.584,0.778,{BF1C52ED-C724-41D7-98BF-9DA469F0B457},,,,
54,2024,S-290,A,3.895,C000290,A,C000290A,010+0.108,014+0.056,10.658,14.553,16-2-010, , ,E,209,6, ,0,14,3,29, ,0,67,14,RMA_RMC_12,5141,10,121,4,4,5,5, ,2, ,GALLATIN, , ,0,0,{7A4E4E96-5396-4C3E-9E21-49D3F08AF83F},,,,
55,2024,N-7,A,0.217,C000007,A,C000007A,092+0.391,092+0.608,92.15,92.367,32-3A-024, , ,E,27778,82, ,88,287,75,3, ,3,10,3,UPA,7020,10,101,141,141,190,190, ,4, ,MISSOULA,JCT U-8138 (W SUSSEX AVE),JCT U-8138 (W SUSSEX AVE),0.51,0.186,{DCB776D0-7331-40A5-841B-EA584CA4E4E6},,,,
56,2024,N-57,A,0.596,C000057,A,C000057A,325+0.052,325+0.648,323.394,323.99,11-5A-007, , ,E,1467,6, ,5,68,36,4, ,3,46,25,UPA,7123,10,115,30,30,44,44, ,2, ,DAWSON,JCT I-94 ON RAMP E CIRCLE INTERCHANGE,JCT I-94 ON RAMP E CIRCLE INTERCHANGE,1.685,2.247,{EEFAE63E-8519-4B88-B570-B2036DD52861},,,,
57,2024,S-228,A,3.513,C000228,A,C000228A,026+0.992,031+0.226,27.118,30.631,08-5-014, , ,A,334,11, ,3,83,73,33, ,9,249,219,RMA_RMC_345,5046,26,172,39,39,68,68, ,2, ,CHOUTEAU, , ,4,18,{B4FBBD67-6F17-4867-8301-B1CAF4656B17},,,,
58,2024,L-25-957,A,0.504,C004529,A,C004529A,000+0.000,000+0.504,0,0.504,25-7B-088, , ,A,226,0, ,0,0,0,0, ,0,0,0,UMA_UC,0,13,116,0,0,0,0, ,2, ,LEWIS AND CLARK,JCT VIRGINIA DALE,ENT L-25-957A/,0,0,{FA48A1D9-7380-44C2-848E-EAFBB5F2E2C8},,,,
59,2024,S-294,A,6.152,C000294,A,C000294A,015+0.673,021+0.822,15.685,21.837,30-4-006, , ,A,191,3, ,0,41,35,16, ,0,215,183,RMA_RMC_12,5144,25,151,14,14,21,21, ,2, ,MEAGHER, , ,0,29.032,{6DE6C3CF-5AE2-49E3-B5C1-1A0D1341B139},,,,
60,2024,P-33,A,7.628,C000033,A,C000033A,053+0.850,061+0.465,54.172,61.8,27-2-006, , ,A,1835,33, ,12,99,60,18, ,7,54,33,RMA_RMC_12,4054,16,134,39,39,58,58, ,2, ,LINCOLN, , ,1.961,1.961,{EDB1497F-20E3-4798-B784-8E7603ADD5B5},,,,
61,2024,S-532,A,4.533,C000532,A,C000532A,003+0.366,007+0.923,3.445,7.978,56-4-013, , ,A,954,24, ,1,59,33,25, ,1,62,35,RMA_RMC_345,5346,31,125,22,22,31,31, ,2, ,YELLOWSTONE, , ,2.29,1.527,{93267FD6-6162-4FA8-B982-9726B0ECAB71},,,,
62,2024,S-463,A,0.361,C000463,A,C000463A,001+0.246,001+0.607,1.243,1.604,02-7-014, , ,A,608,2, ,2,17,13,3, ,3,28,21,RMA_RMC_345,5293,10,105,7,7,12,12, ,2, ,BIG HORN, , ,2.273,2.273,{18A4F5B7-01F3-40C4-B77C-0DE8F26F74F3},,,,
63,2024,S-313,A,4.318,C000313,A,C000313A,034+0.391,038+0.729,34.221,38.538,02-6-001, , ,A,381,0, ,8,16,7,0, ,21,42,18,REC_MA,5164,10,116,8,8,11,11, ,2, ,BIG HORN, , ,2.273,0,{01696213-0136-4460-B99D-7EE38C2A99D3},,,,
64,2024,P-27,A,0.042,C000027,A,C000027A,080+0.569,080+0.611,80.464,80.506,55-1-012, , ,E,1097,8, ,7,81,61,7, ,6,74,56,RMA_RMC_345,4041,10,151,36,36,55,55, ,2, ,WIBAUX,JCT I-94 ON RAMP E WIBAUX INTERCHANGE,JCT I-94 ON RAMP E WIBAUX INTERCHANGE,3.279,5.738,{9BEBF437-2EC0-4E85-B3ED-4A5F13F7C581},,,,
65,2024,U-1036,A,0.578,C001036,A,C001036A,001+0.461,002+0.039,1.461,2.039,56-4A-301, , ,A,8108,17, ,48,105,67,2, ,6,13,8,UMA_UC,9139,35,113,37,37,43,43, ,2, ,YELLOWSTONE, , ,16.348,0.971,{F9417B4D-6CCE-43D6-94FB-006B8946A70B},,,,
66,2024,S-334,A,3.76,C000334,A,C000334A,000+0.000,003+0.709,0,3.76,21-4-016, , ,E,778,1, ,3,3,0,1, ,4,4,0,RMA_RMC_345,5191,10,139,2,2,2,2, ,2, ,HILL,JCT N-10,ENT S-334A/,0,0,{1BCA4FFD-12FA-4336-B3FE-B2212C48CB9B},,,,
67,2024,S-287,A,0.279,C000287,A,C000287A,000+0.000,000+0.279,0,0.279,16-1-014, , ,A,2061,18, ,1,114,77,9, ,0,55,37,RMA_RMC_12,5135,10,115,49,49,70,70, ,2, ,GALLATIN,JCT P-13 IN THREE FORKS,ENT S-287A/,2.732,2.186,{A5D6483A-B987-4441-BF4D-FC06C8C78E03},,,,
68,2024,N-11,A,0.897,C000011,A,C000011A,056+0.801,057+0.779,56.743,57.64,34-2A-015, , ,A,2863,55, ,47,442,156,19, ,16,154,54,UPA,7028,10,97,113,113,152,152, ,2, ,PARK,JCT S-295,JCT S-295,4.962,3.817,{CC0EFBF6-E2B2-4C26-81B2-130D00F3D85E},,,,
69,2024,P-69,A,0.151,C000069,A,C000069A,000+0.000,000+0.151,0,0.151,22-3-016, , ,E,3472,7, ,1,160,137,2, ,0,46,39,RMA_RMC_12,4086,10,117,75,75,117,117, ,2, ,JEFFERSON,JCT N-55 IN WHITEHALL,ENT P-69A/,0.826,6.612,{6EF42A0C-4FA0-40FF-A88F-1955ABADFFA6},,,,
70,2024,S-568,A,0.066,C000568,A,C000568A,000+0.000,000+0.066,0,0.066,56-3-009, , ,A,584,9, ,8,64,38,15, ,14,110,65,RMA_RMC_345,5167,10,103,26,26,39,39, ,2, ,YELLOWSTONE, ,ENT S-568A,9.836,11.475,{154DC44F-BE73-4C2F-B103-D1279E636882},,,,
71,2024,U-2507,A,1.002,C002484,A,C002484A,000+0.000,001+0.002,0,1.002,15-4A-065, , ,E,1868,14, ,17,8,2,7, ,9,4,1,UMA_UC,8200,13,131,8,8,10,10, ,2, ,FLATHEAD,JCT U-2514(HILLTOP RD),ENT U-2507A/,6.015,0,{DB5438FD-D5DD-4453-BDB3-5C5691B13281},,,,
72,2024,L-32-895,A,0.543,C006535,A,C006535A,000+0.270,000+0.813,0.27,0.813,32-3A-054, , ,E,2246,3, ,18,197,8,1, ,8,88,4,UMA_UC,8220,10,143,20,20,22,22, ,2, ,MISSOULA, , ,16.73,0.76,{F27C3D5C-675E-4022-A41A-A4955E992810},,,,
73,2024,U-1013,A,0.254,C001013,A,C001013A,000+0.420,000+0.674,0.42,0.674,56-4A-189, , ,A,8057,55, ,36,496,94,7, ,4,62,12,UMA_UC,8013,10,102,140,140,193,193, ,2, ,YELLOWSTONE, , ,14.941,0.824,{22CECBCD-061E-4FD8-A2C2-80E28549C1C1},,,,
74,2024,P-97,A,0.122,C000097,A,C000097A,000+0.219,000+0.341,0.219,0.341,55-1-013, , ,E,1500,12, ,1,144,110,8, ,1,96,73,RMA_RMC_345,4105,10,113,61,61,94,94, ,2, ,WIBAUX,JCT I-94 OFF RAMP W WIBAUX INTERCHANGE,JCT I-94 OFF RAMP W WIBAUX INTERCHANGE,3.049,12.805,{46DB411E-9E18-4C71-8F9F-DCF91F633219},,,,
75,2024,S-257,A,0.65,C000257,A,C000257A,000+0.482,001+0.224,0.482,1.133,31-2-011, , ,A,1142,12, ,5,88,73,11, ,4,77,64,RMA_RMC_12,5100,10,106,42,42,64,64, ,2, ,MINERAL, , ,2.778,16.667,{349C0E1A-7E3E-4599-B693-628D8F4F6584},,,,
76,2024,U-6903,A,0.41,C006903,A,C006903A,000+0.000,000+0.410,0,0.41,56-4B-029, , ,A,2465,15, ,4,57,37,6, ,2,23,15,UMA_UC,9069,35,110,24,24,34,34, ,2, ,YELLOWSTONE,JCT N-4(1ST AVE),ENT U-6903A/,1.145,2.29,{E2E2EAB6-815F-453A-BC6F-7F58B84B1B12},,,,
